Status,KB link,Ticket link,Ticket Title,Target page,Simplified ticket description,Proposed content,Additional information,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
