priority_phase,nav_title,assigned_writer,Column 4,work_type,proposed_section,current_path,proposed_path,annotation,redirect_needed,pr_branch,notes
2 - Data,Transfer data to Redshift,Bre,Done,move + redirect,Data > Distribution > Currents > Use cases > Transfer data to Redshift,_docs/_user_guide/data/distribution/braze_currents/transferring_data_to_redshift.md,_docs/_user_guide/data/distribution/currents/use_cases/transfer_data_to_redshift.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,How Braze uses Currents,Bre,Done,move + redirect,Data > Distribution > Currents > Use cases > How Braze uses Currents,_docs/_user_guide/data/distribution/braze_currents/how_braze_uses_currents.md,_docs/_user_guide/data/distribution/currents/use_cases/how_braze_uses_currents.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Export APIs,,Not started,none,Data > Distribution > Export Braze data > Export APIs,_docs/_user_guide/data/distribution/export_braze_data/export_apis.md,_docs/_user_guide/data/distribution/export_braze_data/export_apis.md,,no,,
2 - Data,FAQ,Bre,Done,move + redirect,Data > Distribution > Currents > FAQ,_docs/_user_guide/data/distribution/export_braze_data/faqs.md,_docs/_user_guide/data/distribution/currents/faq.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Campaign data,Bre,Done,rename + redirect,Data > Distribution > Export Braze data > Campaign data,_docs/_user_guide/data/distribution/export_braze_data/export_campaign_results_data.md,_docs/_user_guide/data/distribution/export_braze_data/campaign_data.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,"Nav title simplified: removed ""Export"" prefix and ""to CSV"" suffix."
NONE (unchanged),Infrastructure,,Not started,none,Data > Infrastructure,_docs/_user_guide/data/infrastructure.md,_docs/_user_guide/data/infrastructure.md,,no,,
NONE (unchanged),Data centers,,Not started,none,Data > Infrastructure > Data centers,_docs/_user_guide/data/infrastructure/data_centers.md,_docs/_user_guide/data/infrastructure/data_centers.md,,no,,
2 - Data,Canvas data,Bre,Done,rename + redirect,Data > Distribution > Export Braze data > Canvas data,_docs/_user_guide/data/distribution/export_braze_data/export_canvas_data.md,_docs/_user_guide/data/distribution/export_braze_data/canvas_data.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,"Nav title simplified: removed ""Export"" prefix and ""to CSV"" suffix."
NONE (unchanged),Data points,,Not started,none,Data > Infrastructure > Data points,_docs/_user_guide/data/infrastructure/data_points.md,_docs/_user_guide/data/infrastructure/data_points.md,,no,,
NONE (unchanged),Technology Partners,,Not started,none,Data > Technology Partners,_docs/_user_guide/data/technology_partners.md,_docs/_user_guide/data/technology_partners.md,,no,,
2 - Data,Segment data,Bre,Done,move + redirect,Data > Distribution > Export Braze data > Segment data,_docs/_user_guide/engagement_tools/segments/viewing_and_understanding_segment_data.md,_docs/_user_guide/data/distribution/export_braze_data/segment_data.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,"Renamed from ""Export segment data to CSV"". Nav title simplified."
2 - Data,Troubleshooting,Bre,Done,move + redirect,Data > Distribution > Export Braze data > Troubleshooting,_docs/_user_guide/administrative/access_braze/troubleshooting.md,_docs/_user_guide/data/distribution/export_braze_data/troubleshooting.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,FAQ,Bre,Done,move + redirect,Data > Distribution > Export Braze data > FAQ,_docs/_user_guide/data/distribution/braze_currents/faq.md,_docs/_user_guide/data/distribution/export_braze_data/faq.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Identifier field-level encryption,Bre,Done,rename + redirect,Data > Infrastructure > Identifier field-level encryption,_docs/_user_guide/data/infrastructure/field_level_encryption.md,_docs/_user_guide/data/infrastructure/identifier_field_level_encryption.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
3 - Audience + Analytics,Audience,,Not started,create,Audience,,_docs/_user_guide/audience.md,landing page should include a cross-link to User data,no,,
3 - Audience + Analytics,Your audience,,Not started,create,Audience > Your audience,,_docs/_user_guide/audience/your_audience.md,"new article, would consist of a variety of jumping off points for learning about audience/user management in Braze:",no,,
3 - Audience + Analytics,Segments,,Not started,move + redirect,Audience > Segments,_docs/_user_guide/engagement_tools/segments.md,_docs/_user_guide/audience/segments.md,,yes,,
3 - Audience + Analytics,Use case: Segment with nested custom attributes,,Not started,create,Audience > Segments > Use case: Segment with nested custom attributes,,_docs/_user_guide/audience/segments/use_case_segment_with_nested_custom_attributes.md,"new article, pulls entire section on Segmenting from ""Nested custom attributes"" article",no,,
3 - Audience + Analytics,Global control group,,Not started,move + redirect,Audience > Global control group,_docs/_user_guide/analytics/reporting/global_control_group_reporting.md,_docs/_user_guide/audience/global_control_group.md,,yes,,
3 - Audience + Analytics,Suppression lists,,Not started,move + redirect,Audience > Suppression lists,_docs/_user_guide/engagement_tools/segments/suppression_lists.md,_docs/_user_guide/audience/suppression_lists.md,,yes,,
3 - Audience + Analytics,User profiles,,Not started,move + redirect,Audience > User profiles,_docs/_user_guide/engagement_tools/segments/user_profiles.md,_docs/_user_guide/audience/user_profiles.md,,yes,,
3 - Audience + Analytics,Manage users,,Not started,create,Audience > Manage users,,_docs/_user_guide/audience/manage_users.md,(auto-detected: new section landing page),no,,
3 - Audience + Analytics,Import users,,Not started,move + redirect,Audience > Manage users > Import users,_docs/_user_guide/data/unification/user_data/import_users.md,_docs/_user_guide/audience/manage_users/import_users.md,,yes,,
3 - Audience + Analytics,CSV import,,Not started,move + redirect,Audience > Manage users > Import users > CSV import,_docs/_user_guide/data/unification/user_data/import_users/csv.md,_docs/_user_guide/audience/manage_users/import_users/csv_import.md,,yes,,
3 - Audience + Analytics,Merge duplicate users,,Not started,move + redirect,Audience > Manage users > Merge duplicate users,_docs/_user_guide/engagement_tools/segments/user_profiles/duplicate_users.md,_docs/_user_guide/audience/manage_users/merge_duplicate_users.md,,yes,,
3 - Audience + Analytics,Delete users,,Not started,move + redirect,Audience > Manage users > Delete users,_docs/_user_guide/data/unification/user_data/delete_users.md,_docs/_user_guide/audience/manage_users/delete_users.md,,yes,,
3 - Audience + Analytics,Subscription preferences,,Not started,create,Audience > Subscription preferences,,_docs/_user_guide/audience/subscription_preferences.md,(auto-detected: new section landing page),no,,
3 - Audience + Analytics,Subscription status,,Not started,move + redirect,Audience > Subscription preferences > Subscription status,_docs/_user_guide/message_building_by_channel/line/line_users/subscription_groups.md,_docs/_user_guide/audience/subscription_preferences/subscription_status.md,,yes,,
3 - Audience + Analytics,Subscription groups,,Not started,move + redirect,Audience > Subscription preferences > Subscription groups,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/subscription_groups.md,_docs/_user_guide/audience/subscription_preferences/subscription_groups.md,,yes,,
3 - Audience + Analytics,Preference center,,Not started,move + redirect,Audience > Subscription preferences > Preference center,_docs/_user_guide/message_building_by_channel/email/preference_center.md,_docs/_user_guide/audience/subscription_preferences/preference_center.md,Related articles: API endpoints,yes,,
3 - Audience + Analytics,Locations and geofences,,Not started,move + redirect,Audience > Locations and geofences,_docs/_user_guide/engagement_tools/locations_and_geofences.md,_docs/_user_guide/audience/locations_and_geofences.md,,yes,,
3 - Audience + Analytics,Dashboards,,Not started,create,Analytics > Dashboards,,_docs/_user_guide/analytics/dashboards.md,(auto-detected: new section landing page),no,,
3 - Audience + Analytics,Dashboard Builder,,Not started,move + redirect,Analytics > Dashboards > Dashboard Builder,_docs/_user_guide/analytics/reporting/dashboard_builder.md,_docs/_user_guide/analytics/dashboards/dashboard_builder.md,,yes,,
3 - Audience + Analytics,Home,,Not started,move + redirect,Analytics > Dashboards > Home,_docs/_user_guide/introduction.md,_docs/_user_guide/analytics/dashboards/home.md,,yes,,
3 - Audience + Analytics,API usage,,Not started,move + redirect,Analytics > Dashboards > API usage,_docs/_user_guide/analytics/dashboard/api_usage_alerts.md,_docs/_user_guide/analytics/dashboards/api_usage.md,,yes,,
3 - Audience + Analytics,Channel performance,,Not started,move + redirect,Analytics > Dashboards > Channel performance,_docs/_user_guide/analytics/dashboard/email_performance_dashboard.md,_docs/_user_guide/analytics/dashboards/channel_performance.md,,yes,,
3 - Audience + Analytics,Conversions,,Not started,move + redirect,Analytics > Dashboards > Conversions,_docs/_user_guide/engagement_tools/messaging_fundamentals/conversion_events.md,_docs/_user_guide/analytics/dashboards/conversions.md,,yes,,
3 - Audience + Analytics,Deliverability Center,,Not started,move + redirect,Analytics > Dashboards > Deliverability Center,_docs/_user_guide/analytics/dashboard/deliverability_center.md,_docs/_user_guide/analytics/dashboards/deliverability_center.md,,yes,,
3 - Audience + Analytics,Reports,,Not started,create,Analytics > Reports,,_docs/_user_guide/analytics/reports.md,landing page contains an overview of all reports,no,,
3 - Audience + Analytics,Configure reporting,,Not started,move + redirect,Analytics > Reports > Configure reporting,_docs/_user_guide/analytics/reporting/configuring_reporting.md,_docs/_user_guide/analytics/reports/configure_reporting.md,,yes,,
3 - Audience + Analytics,Engagement reports,,Not started,move + redirect,Analytics > Reports > Engagement reports,_docs/_user_guide/analytics/reporting/engagement_reports.md,_docs/_user_guide/analytics/reports/engagement_reports.md,,yes,,
3 - Audience + Analytics,Campaign analytics,,Not started,move + redirect,Analytics > Reports > Campaign analytics,_docs/_user_guide/analytics/reporting/campaign_analytics.md,_docs/_user_guide/analytics/reports/campaign_analytics.md,,yes,,
3 - Audience + Analytics,Canvas analytics,,Not started,move + redirect,Analytics > Reports > Canvas analytics,_docs/_user_guide/analytics/reporting/canvas_analytics.md,_docs/_user_guide/analytics/reports/canvas_analytics.md,,yes,,
3 - Audience + Analytics,Report Builder,,Not started,move + redirect,Analytics > Reports > Report Builder,_docs/_user_guide/analytics/reporting/report_builder.md,_docs/_user_guide/analytics/reports/report_builder.md,,yes,,
3 - Audience + Analytics,Query Builder,,Not started,move + redirect,Analytics > Reports > Query Builder,_docs/_user_guide/analytics/query_builder.md,_docs/_user_guide/analytics/reports/query_builder.md,,yes,,
3 - Audience + Analytics,Retention reports,,Not started,move + redirect,Analytics > Reports > Retention reports,_docs/_user_guide/analytics/reporting/retention_reports.md,_docs/_user_guide/analytics/reports/retention_reports.md,,yes,,
3 - Audience + Analytics,Funnel reports,,Not started,move + redirect,Analytics > Reports > Funnel reports,_docs/_user_guide/analytics/reporting/funnel_reports.md,_docs/_user_guide/analytics/reports/funnel_reports.md,,yes,,
3 - Audience + Analytics,Revenue report,,Not started,move + redirect,Analytics > Reports > Revenue report,_docs/_user_guide/analytics/reporting/revenue_report.md,_docs/_user_guide/analytics/reports/revenue_report.md,,yes,,
3 - Audience + Analytics,Global control group report,,Not started,move + redirect,Analytics > Reports > Global control group report,_docs/_user_guide/engagement_tools/testing/global_control_group.md,_docs/_user_guide/analytics/reports/global_control_group_report.md,,yes,,
3 - Audience + Analytics,Open pixel and click tracking,,Not started,rename + redirect,Analytics > Tracking > Open pixel and click tracking,_docs/_user_guide/analytics/tracking/email_tracking.md,_docs/_user_guide/analytics/tracking/open_pixel_and_click_tracking.md,,yes,,
3 - Audience + Analytics,Influence opens,,Not started,rename + redirect,Analytics > Tracking > Influence opens,_docs/_user_guide/analytics/tracking/influenced_opens.md,_docs/_user_guide/analytics/tracking/influence_opens.md,,yes,,
3 - Audience + Analytics,Metrics glossary,,Not started,merge + redirect,Analytics > Metrics glossary,_docs/_user_guide/analytics/reporting/report_metrics.md,_docs/_user_guide/analytics/metrics_glossary.md,"combine with Email metrics glossary, waiting for confirmation from Email PMs",yes,,
4 - Messaging,Messaging,,Not started,create,Messaging,,_docs/_user_guide/messaging.md,(auto-detected: new section landing page),no,,
4 - Messaging,Messaging fundamentals,,Not started,move + redirect,Messaging > Messaging fundamentals,_docs/_user_guide/engagement_tools/messaging_fundamentals.md,_docs/_user_guide/messaging/messaging_fundamentals.md,,yes,,
4 - Messaging,Accessibility,,Not started,move + redirect,Messaging > Messaging fundamentals > Accessibility,_docs/_user_guide/engagement_tools/messaging_fundamentals/accessibility.md,_docs/_user_guide/messaging/messaging_fundamentals/accessibility.md,,yes,,
4 - Messaging,Approvals,,Not started,move + redirect,Messaging > Messaging fundamentals > Approvals,_docs/_user_guide/engagement_tools/messaging_fundamentals/approvals.md,_docs/_user_guide/messaging/messaging_fundamentals/approvals.md,,yes,,
4 - Messaging,Messaging rules,,Not started,move + redirect,Messaging > Messaging fundamentals > Approvals > Messaging rules,_docs/_user_guide/engagement_tools/messaging_fundamentals/approvals/messaging_rules.md,_docs/_user_guide/messaging/messaging_fundamentals/approvals/messaging_rules.md,,yes,,
4 - Messaging,Archiving,,Not started,move + redirect,Messaging > Messaging fundamentals > Archiving,_docs/_user_guide/engagement_tools/messaging_fundamentals/archiving.md,_docs/_user_guide/messaging/messaging_fundamentals/archiving.md,,yes,,
4 - Messaging,Conversion Events,,Not started,move + redirect,Messaging > Messaging fundamentals > Conversion Events,_docs/_user_guide/engagement_tools/messaging_fundamentals/conversion_events.md,_docs/_user_guide/messaging/messaging_fundamentals/conversion_events.md,,yes,,
4 - Messaging,Copy across workspaces,,Not started,move + redirect,Messaging > Messaging fundamentals > Copy across workspaces,_docs/_user_guide/engagement_tools/messaging_fundamentals/copying_across_workspaces.md,_docs/_user_guide/messaging/messaging_fundamentals/copy_across_workspaces.md,,yes,,
4 - Messaging,Delivery and entry types,,Not started,move + redirect,Messaging > Messaging fundamentals > Delivery and entry types,_docs/_user_guide/engagement_tools/messaging_fundamentals/delivery_types.md,_docs/_user_guide/messaging/messaging_fundamentals/delivery_and_entry_types.md,,yes,,
4 - Messaging,Duplicating,,Not started,move + redirect,Messaging > Messaging fundamentals > Duplicating,_docs/_user_guide/engagement_tools/messaging_fundamentals/duplicating.md,_docs/_user_guide/messaging/messaging_fundamentals/duplicating.md,,yes,,
4 - Messaging,Editor blocks,,Not started,move + redirect,Messaging > Messaging fundamentals > Editor blocks,_docs/_user_guide/engagement_tools/messaging_fundamentals/drag_and_drop_editor_blocks.md,_docs/_user_guide/messaging/messaging_fundamentals/editor_blocks.md,,yes,,
4 - Messaging,Frequency capping,,Not started,move + redirect,Messaging > Messaging fundamentals > Frequency capping,_docs/_user_guide/engagement_tools/campaigns/building_campaigns/rate-limiting.md,_docs/_user_guide/messaging/messaging_fundamentals/frequency_capping.md,,yes,,
4 - Messaging,Know before you send,,Not started,move + redirect,Messaging > Messaging fundamentals > Know before you send,_docs/_user_guide/engagement_tools/messaging_fundamentals/know_before_send.md,_docs/_user_guide/messaging/messaging_fundamentals/know_before_you_send.md,,yes,,
4 - Messaging,Localization,,Not started,move + redirect,Messaging > Messaging fundamentals > Localization,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization.md,_docs/_user_guide/messaging/messaging_fundamentals/localization.md,,yes,,
4 - Messaging,Locales in messages,,Not started,move + redirect,Messaging > Messaging fundamentals > Localization > Locales in messages,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization/locales.md,_docs/_user_guide/messaging/messaging_fundamentals/localization/locales_in_messages.md,,yes,,
4 - Messaging,Right-to-left messages,,Not started,move + redirect,Messaging > Messaging fundamentals > Localization > Right-to-left messages,_docs/_user_guide/engagement_tools/messaging_fundamentals/localization/right_to_left_messages.md,_docs/_user_guide/messaging/messaging_fundamentals/localization/right_to_left_messages.md,,yes,,
4 - Messaging,Priority sorter,,Not started,create,Messaging > Messaging fundamentals > Priority sorter,,_docs/_user_guide/messaging/messaging_fundamentals/priority_sorter.md,new article,no,,
4 - Messaging,Product blocks,,Not started,move + redirect,Messaging > Messaging fundamentals > Product blocks,_docs/_user_guide/engagement_tools/messaging_fundamentals/product_blocks.md,_docs/_user_guide/messaging/messaging_fundamentals/product_blocks.md,,yes,,
4 - Messaging,Rate limiting,,Not started,move + redirect,Messaging > Messaging fundamentals > Rate limiting,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/rate_limiting.md,_docs/_user_guide/messaging/messaging_fundamentals/rate_limiting.md,,yes,,
4 - Messaging,Re-eligibility,,Not started,move + redirect,Messaging > Messaging fundamentals > Re-eligibility,_docs/_user_guide/engagement_tools/messaging_fundamentals/reeligibility.md,_docs/_user_guide/messaging/messaging_fundamentals/re_eligibility.md,,yes,,
4 - Messaging,Statuses,,Not started,move + redirect,Messaging > Messaging fundamentals > Statuses,_docs/_user_guide/engagement_tools/messaging_fundamentals/about_statuses.md,_docs/_user_guide/messaging/messaging_fundamentals/statuses.md,,yes,,
4 - Messaging,Target users,,Not started,move + redirect,Messaging > Messaging fundamentals > Target users,_docs/_user_guide/engagement_tools/messaging_fundamentals/targeting_users.md,_docs/_user_guide/messaging/messaging_fundamentals/target_users.md,,yes,,
4 - Messaging,Canvas,,Not started,move + redirect,Messaging > Canvas,_docs/_user_guide/engagement_tools/canvas.md,_docs/_user_guide/messaging/canvas.md,no changes,yes,,
4 - Messaging,Campaigns,,Not started,rewrite,Messaging > Campaigns,_docs/_user_guide/engagement_tools/campaigns.md,_docs/_user_guide/messaging/campaigns.md,rewrite landing page,yes,,
4 - Messaging,Campaign basics,,Not started,move + redirect,Messaging > Campaigns > Campaign basics,_docs/_user_guide/engagement_tools/campaigns/getting_started/campaign_basics.md,_docs/_user_guide/messaging/campaigns/campaign_basics.md,,yes,,
4 - Messaging,Schedule your campaign,,Not started,move + redirect,Messaging > Campaigns > Schedule your campaign,_docs/_user_guide/engagement_tools/campaigns/building_campaigns/delivery_types.md,_docs/_user_guide/messaging/campaigns/schedule_your_campaign.md,should include links to rate limiting and frequency capping,yes,,
4 - Messaging,Manage campaigns,,Not started,move + redirect,Messaging > Campaigns > Manage campaigns,_docs/_user_guide/engagement_tools/campaigns/managing_campaigns.md,_docs/_user_guide/messaging/campaigns/manage_campaigns.md,,yes,,
4 - Messaging,Test campaigns,,Not started,move + redirect,Messaging > Campaigns > Test campaigns,_docs/_user_guide/engagement_tools/campaigns/testing_and_more.md,_docs/_user_guide/messaging/campaigns/test_campaigns.md,,yes,,
4 - Messaging,Ideas and strategies,,Not started,move + redirect,Messaging > Campaigns > Ideas and strategies,_docs/_user_guide/engagement_tools/campaigns/ideas_and_strategies.md,_docs/_user_guide/messaging/campaigns/ideas_and_strategies.md,,yes,,
4 - Messaging,FAQ,,Not started,move + redirect,Messaging > Campaigns > FAQ,_docs/_user_guide/engagement_tools/campaigns/faq.md,_docs/_user_guide/messaging/campaigns/faq.md,,yes,,
4 - Messaging,Landing pages,,Not started,move + redirect,Messaging > Landing pages,_docs/_user_guide/engagement_tools/landing_pages.md,_docs/_user_guide/messaging/landing_pages.md,,yes,,
4 - Messaging,Create landing pages,,Not started,move + redirect,Messaging > Landing pages > Create landing pages,_docs/_user_guide/engagement_tools/landing_pages/creating_pages.md,_docs/_user_guide/messaging/landing_pages/create_landing_pages.md,,yes,,
4 - Messaging,Customize the URL,,Not started,move + redirect,Messaging > Landing pages > Customize the URL,_docs/_user_guide/engagement_tools/landing_pages/customizing_urls.md,_docs/_user_guide/messaging/landing_pages/customize_the_url.md,,yes,,
4 - Messaging,Tracking users,,Not started,move + redirect,Messaging > Landing pages > Tracking users,_docs/_user_guide/engagement_tools/landing_pages/tracking_users.md,_docs/_user_guide/messaging/landing_pages/tracking_users.md,,yes,,
4 - Messaging,Retargeting users,,Not started,move + redirect,Messaging > Landing pages > Retargeting users,_docs/_user_guide/engagement_tools/landing_pages/retargeting.md,_docs/_user_guide/messaging/landing_pages/retargeting_users.md,,yes,,
4 - Messaging,Personalize landing pages,,Not started,move + redirect,Messaging > Landing pages > Personalize landing pages,_docs/_user_guide/engagement_tools/landing_pages/personalizing_pages.md,_docs/_user_guide/messaging/landing_pages/personalize_landing_pages.md,,yes,,
4 - Messaging,About tracking data,,Not started,move + redirect,Messaging > Landing pages > About tracking data,_docs/_user_guide/engagement_tools/landing_pages/about_tracking_data.md,_docs/_user_guide/messaging/landing_pages/about_tracking_data.md,,yes,,
4 - Messaging,Feature flags,,Not started,move + redirect,Messaging > Feature flags,_docs/_user_guide/engagement_tools/canvas/canvas_components/feature_flags.md,_docs/_user_guide/messaging/feature_flags.md,,yes,,
4 - Messaging,Create feature flags,,Not started,move + redirect,Messaging > Feature flags > Create feature flags,_docs/_user_guide/engagement_tools/feature_flags/create.md,_docs/_user_guide/messaging/feature_flags/create_feature_flags.md,,yes,,
4 - Messaging,Feature flags in Canvas,,Not started,move + redirect,Messaging > Feature flags > Feature flags in Canvas,_docs/_user_guide/engagement_tools/feature_flags/canvas.md,_docs/_user_guide/messaging/feature_flags/feature_flags_in_canvas.md,,yes,,
4 - Messaging,Feature flag experiments,,Not started,move + redirect,Messaging > Feature flags > Feature flag experiments,_docs/_user_guide/engagement_tools/feature_flags/experiments.md,_docs/_user_guide/messaging/feature_flags/feature_flag_experiments.md,,yes,,
4 - Messaging,FAQ,,Not started,move + redirect,Messaging > Feature flags > FAQ,_docs/_user_guide/engagement_tools/feature_flags/faq.md,_docs/_user_guide/messaging/feature_flags/faq.md,,yes,,
4 - Messaging,A/B testing,,Not started,create,Messaging > A/B testing,,_docs/_user_guide/messaging/ab_testing.md,(auto-detected: new section landing page),no,,
4 - Messaging,Concepts,,Not started,create,Messaging > A/B testing > Concepts,,_docs/_user_guide/messaging/ab_testing/concepts.md,(auto-detected: new section landing page),no,,
4 - Messaging,Random bucket numbers,,Not started,move + redirect,Messaging > A/B testing > Concepts > Random bucket numbers,_docs/_user_guide/engagement_tools/testing/random_bucket_numbers.md,_docs/_user_guide/messaging/ab_testing/concepts/random_bucket_numbers.md,,yes,,
4 - Messaging,Conversion correlation,,Not started,move + redirect,Messaging > A/B testing > Concepts > Conversion correlation,_docs/_user_guide/engagement_tools/testing/conversion_correlation.md,_docs/_user_guide/messaging/ab_testing/concepts/conversion_correlation.md,,yes,,
4 - Messaging,Race conditions,,Not started,move + redirect,Messaging > A/B testing > Concepts > Race conditions,_docs/_user_guide/engagement_tools/testing/race_conditions.md,_docs/_user_guide/messaging/ab_testing/concepts/race_conditions.md,,yes,,
4 - Messaging,Create tests,,Not started,move + redirect,Messaging > A/B testing > Create tests,_docs/_user_guide/engagement_tools/testing/multivariant_testing/create_multivariate_campaign.md,_docs/_user_guide/messaging/ab_testing/create_tests.md,,yes,,
4 - Messaging,Optimizations,,Not started,move + redirect,Messaging > A/B testing > Optimizations,_docs/_user_guide/engagement_tools/testing/multivariant_testing/optimizations.md,_docs/_user_guide/messaging/ab_testing/optimizations.md,,yes,,
4 - Messaging,Analytics,,Not started,move + redirect,Messaging > A/B testing > Analytics,_docs/_user_guide/engagement_tools/testing/multivariant_testing/multivariate_analytics.md,_docs/_user_guide/messaging/ab_testing/analytics.md,,yes,,
4 - Messaging,FAQ,,Not started,move + redirect,Messaging > A/B testing > FAQ,_docs/_user_guide/engagement_tools/testing/multivariant_testing/faq.md,_docs/_user_guide/messaging/ab_testing/faq.md,,yes,,
4 - Messaging,Reusable content,,Not started,create,Messaging > Reusable content,,_docs/_user_guide/messaging/reusable_content.md,new landing page,no,,
4 - Messaging,Content Blocks,,Not started,move + redirect,Messaging > Reusable content > Content Blocks,_docs/_user_guide/message_building_by_channel/email/drag_and_drop/dnd_content_blocks.md,_docs/_user_guide/messaging/reusable_content/content_blocks.md,,yes,,
4 - Messaging,Product Blocks,,Not started,move + redirect,Messaging > Reusable content > Product Blocks,_docs/_user_guide/data/activation/catalogs/product_blocks.md,_docs/_user_guide/messaging/reusable_content/product_blocks.md,,yes,,
4 - Messaging,Design and edit,,Not started,create,Messaging > Design and edit,,_docs/_user_guide/messaging/design_and_edit.md,new landing page,no,,
4 - Messaging,Drag-and-drop editor,,Not started,create,Messaging > Design and edit > Drag-and-drop editor,,_docs/_user_guide/messaging/design_and_edit/drag_and_drop_editor.md,new article,no,,
4 - Messaging,Email drag-and-drop editor,,Not started,create,Messaging > Design and edit > Email drag-and-drop editor,,_docs/_user_guide/messaging/design_and_edit/email_drag_and_drop_editor.md,new article,no,,
4 - Messaging,Email HTML editor,,Not started,create,Messaging > Design and edit > Email HTML editor,,_docs/_user_guide/messaging/design_and_edit/email_html_editor.md,new article,no,,
4 - Messaging,Traditional composers,,Not started,create,Messaging > Design and edit > Traditional composers,,_docs/_user_guide/messaging/design_and_edit/traditional_composers.md,new article,no,,
4 - Messaging,Image specifications,,Not started,move + redirect,Messaging > Design and edit > Image specifications,_docs/_user_guide/engagement_tools/templates_and_media/image_specs.md,_docs/_user_guide/messaging/design_and_edit/image_specifications.md,,yes,,
4 - Messaging,Media library,,Not started,merge + redirect,Messaging > Media library,_docs/_user_guide/engagement_tools/templates_and_media/media_library.md,_docs/_user_guide/messaging/media_library.md,Remove image specs section and add to a dedicated article. Fold in FAQ content,yes,,
4 - Messaging,Templates,,Not started,move + redirect,Messaging > Templates,_docs/_user_guide/message_building_by_channel/email/templates.md,_docs/_user_guide/messaging/templates.md,,yes,,
4 - Messaging,Canvas templates,,Not started,move + redirect,Messaging > Templates > Canvas templates,_docs/_user_guide/engagement_tools/canvas/create_a_canvas/canvas_templates/templates.md,_docs/_user_guide/messaging/templates/canvas_templates.md,,yes,,
4 - Messaging,Email templates,,Not started,move + redirect,Messaging > Templates > Email templates,_docs/_user_guide/engagement_tools/templates_and_media/managing_templates.md,_docs/_user_guide/messaging/templates/email_templates.md,,yes,,
4 - Messaging,In-app message templates,,Not started,create,Messaging > Templates > In-app message templates,,_docs/_user_guide/messaging/templates/in_app_message_templates.md,(auto-detected: new section landing page),no,,
4 - Messaging,Custom templates,,Not started,create,Messaging > Templates > In-app message templates > Custom templates,,_docs/_user_guide/messaging/templates/in_app_message_templates/custom_templates.md,new article with guidance on how to create and access their own templates,no,,
4 - Messaging,Color profiles and CSS templates,,Not started,move + redirect,Messaging > Templates > In-app message templates > Color profiles and CSS templates,_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/color_profiles_and_css.md,_docs/_user_guide/messaging/templates/in_app_message_templates/color_profiles_and_css_templates.md,,yes,,
4 - Messaging,Braze templates,,Not started,create,Messaging > Templates > In-app message templates > Braze templates,,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates.md,(auto-detected: new section landing page),no,,
4 - Messaging,Onboarding flow,,Not started,move + redirect,Messaging > Templates > In-app message templates > Braze templates > Onboarding flow,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/onboarding.md,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates/onboarding_flow.md,,yes,,
4 - Messaging,"SMS, RCS, and WhatsApp signup form",,Not started,move + redirect,"Messaging > Templates > In-app message templates > Braze templates > SMS, RCS, and WhatsApp signup form",_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/phone_number_capture.md,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates/sms_rcs_and_whatsapp_signup_form.md,,yes,,
4 - Messaging,Email sign-up form,,Not started,move + redirect,Messaging > Templates > In-app message templates > Braze templates > Email sign-up form,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_capture.md,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates/email_sign_up_form.md,,yes,,
4 - Messaging,Email sign-up with discount,,Not started,move + redirect,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with discount,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_discount.md,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates/email_sign_up_with_discount.md,,yes,,
4 - Messaging,Email sign-up with image,,Not started,move + redirect,Messaging > Templates > In-app message templates > Braze templates > Email sign-up with image,_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_image.md,_docs/_user_guide/messaging/templates/in_app_message_templates/braze_templates/email_sign_up_with_image.md,,yes,,
